"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00449954513435059,0.552678011576429,0.443,0.342,1,"4","Pex11b"
0.0045163635628959,0.3529224852137,0.551,0.427,1,"4","Psmg4"
0.00455404979840287,0.687327747291786,0.323,0.233,1,"4","Zfp955b"
0.00457142323227022,0.351498757022947,0.749,0.646,1,"4","Ppp2r4"
0.00459213770020779,0.675471132056998,0.395,0.301,1,"4","Nphp1"
0.00461376668441485,0.657273556395257,0.275,0.19,1,"4","Gas8"
0.00462861170916672,0.434278435270042,0.653,0.569,1,"4","Pdcd10"
0.00463061234653199,0.419441233472492,0.599,0.465,1,"4","Hn1l"
0.0046424702089558,0.778295805210851,0.431,0.349,1,"4","Ing3"
0.00464544216773246,1.13083794853005,0.359,0.264,1,"4","Wdr36"
0.00466048263071069,0.63051430654469,0.269,0.182,1,"4","A930005H10Rik"
0.00466859213650592,0.800670103180117,0.305,0.211,1,"4","Pacrg"
0.00470037478545581,0.447542765740591,0.479,0.372,1,"4","Erap1"
0.00472945880013134,0.383912996287585,0.347,0.235,1,"4","Inppl1"
0.00473090063463085,0.433780605750144,0.509,0.391,1,"4","Trip4"
0.00473451683581519,0.251373004779756,0.826,0.687,1,"4","Pafah1b1"
0.00473854901110996,0.412818861835308,0.611,0.512,1,"4","Fam120c"
0.00473916417325728,0.362082600364358,0.491,0.405,1,"4","Dync2li1"
0.0047560461845706,0.564618783694984,0.281,0.192,1,"4","Pdhx"
0.00477092913975737,0.258070029726473,0.413,0.306,1,"4","Scmh1"
0.0048301624296544,0.40502771114998,0.335,0.233,1,"4","Tyw1"
0.00484373270289785,0.359840666069757,0.569,0.441,1,"4","Ap4s1"
0.00484779044825695,0.436788351221267,0.389,0.288,1,"4","Pxmp4"
0.00485996842545461,0.347491295989852,0.593,0.463,1,"4","Med15"
0.0048740032912666,0.54851264421297,0.383,0.279,1,"4","Slc35a5"
0.00490234430518034,0.548048645758866,0.353,0.253,1,"4","Tmem20"
0.0049237451311289,0.286474150946228,0.305,0.204,1,"4","Zfp60"
0.00494836111998462,0.520590183799906,0.401,0.311,1,"4","Mrpl46"
0.00497781234179241,0.691775003977069,0.305,0.22,1,"4","Fam71e1"
0.00499185638322098,0.415692755171153,0.389,0.284,1,"4","Frs2"
